name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
52,0.533109,1,0,29,3,10,0,2
52,0.473996,2,1,135,4,3,1,1
52,0.671185,2,0,111,2,1,2,2
52,0.543028,2,0,98,1,2,2,2
52,0.492149,1,1,133,4,3,2,2
52,0.483174,1,0,78,3,10,1,1
52,0.418314,2,0,43,4,11,2,2
52,0.619453,2,0,10,1,12,2,2
52,0.493048,2,0,130,3,4,2,2
52,0.627162,1,0,106,1,2,3,2
52,0.619416,2,0,7,1,11,1,1
52,0.484198,1,0,138,4,3,3,2
52,0.475459,1,1,79,3,11,1,1
52,0.521964,2,0,115,2,1,1,1
52,0.536601,2,0,77,3,10,1,1
52,0.477298,1,0,25,3,9,1,1
52,0.595763,1,0,16,2,10,0,2
52,0.471318,1,0,88,4,10,1,1
52,0.516978,2,0,53,1,10,1,1
52,0.698551,2,0,23,2,12,3,2
52,0.504093,1,0,82,3,12,1,1
52,0.485563,2,0,76,3,10,1,1
52,0.700526,1,0,80,3,11,1,1
52,0.603056,2,0,86,4,9,1,1
52,0.565817,2,1,9,1,11,3,2
52,0.505272,1,0,17,2,10,1,1
52,0.551442,2,0,57,1,11,1,1
52,0.547013,1,0,30,3,10,1,1
52,0.495307,1,0,71,2,12,1,1
52,0.54081,1,0,121,3,4,2,2
52,0.51392,1,0,46,4,12,0,2
52,0.54289,1,0,94,4,12,1,1
52,0.692031,2,0,107,1,2,3,2
52,0.794222,2,0,41,4,10,1,1
52,0.468089,1,0,26,3,9,0,2
52,0.643481,2,0,49,1,9,1,1
52,0.531593,2,0,83,3,12,1,1
52,0.672884,2,0,42,4,10,2,2
52,0.52045,1,0,63,2,9,1,1
52,0.622155,2,0,103,1,2,1,1
52,0.511883,1,1,31,3,11,0,2
52,0.540621,2,0,34,3,12,2,2
52,0.513089,1,0,50,1,9,1,1
52,0.646644,2,0,120,2,1,2,2
52,0.554726,1,0,123,3,4,3,2
52,0.726644,2,0,140,4,3,2,2
52,0.789423,2,0,21,2,11,2,2
52,0.735708,2,0,126,3,4,1,1
52,0.485721,1,0,51,1,9,1,1
52,0.483246,1,0,54,1,10,1,1
52,0.506575,1,0,8,1,11,0,2
52,0.503917,1,0,108,1,2,2,2
52,0.462124,1,0,24,2,12,2,2
52,0.533532,2,0,62,2,9,1,1
52,0.714772,1,1,81,3,11,1,1
52,0.631827,2,0,59,1,12,1,1
52,0.528203,1,0,2,1,9,2,2
52,0.692685,2,0,143,4,3,1,1
52,0.434531,1,0,38,4,9,1,1
52,0.466867,1,0,56,1,11,1,1
52,0.54602,2,0,119,2,1,3,2
52,0.478725,2,0,58,1,12,1,1
52,0.437116,2,0,32,3,11,3,2
52,0.478085,2,0,87,4,9,1,1
52,0.468453,2,0,14,2,9,0,2
52,0.474436,2,1,6,1,10,1,1
